Filename,FilePath,Duration(seconds)
"Slip.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Slip.mp3","0.417500"
"Slurp - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Slurp - Sound Effect (HD).mp3","2.168163"
"Sound Effect - Camera shutter.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Sound Effect - Camera shutter.mp3","4.536000"
"Sét.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Sét.mp3","7.131429"
"The Price is Right Ding - Gaming Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/The Price is Right Ding - Gaming Sound Effect (HD).mp3","2.011429"
"Thunder Sound effect (1).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Thunder Sound effect (1).mp3","7.131429"
"Tiếng Tính Tiền.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Tiếng Tính Tiền.mp3","5.172245"
"Video Âm Thanh - Nà Ní -.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Video Âm Thanh - Nà Ní -.mp3","5.448000"
"Whoosh sound effect (1).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Whoosh sound effect (1).mp3","1.071020"
"Wow.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Wow.mp3","2.348438"
"Yeah.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Yeah.mp3","4.201094"
"Yeet sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Yeet sound effect.mp3","1.368000"
"búng tay.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/búng tay.mp3","0.286687"
"bất ngờ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/bất ngờ.mp3","3.518438"
"bị troll.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/bị troll.mp3","4.300313"
"chan.swf.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chan.swf.mp3","3.753000"
"chay.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chay.mp3","3.805125"
"chào cờ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chào cờ.mp3","9.278250"
"chíu chíu.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chíu chíu.mp3","1.304688"
"gun 1.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/gun 1.mp3","1.728000"
"gun.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/gun.mp3","1.774375"
"lung linh.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/lung linh.mp3","1.694063"
"nhảy mario.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/nhảy mario.mp3","0.834000"
"no nonon.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/no nonon.mp3","2.632312"
"nope.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/nope.mp3","1.201633"
"tada tada.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tada tada.mp3","1.930937"
"tada.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tada.mp3","0.574063"
"thoi gian cho.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/thoi gian cho.mp3","3.127500"
"ting.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/ting.mp3","0.938250"
"tiếng súng meme.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tiếng súng meme.mp3","17.279438"
"tính tiền.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tính tiền.mp3","1.198875"
"Ư.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Ư.mp3","0.729750"
"ố ô ồ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/ố ô ồ.mp3","17.487938"
"Ồ Ộ .mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Ồ Ộ .mp3","1.704000"
